rs10004195	Helicobacter pylori serologic status
rs11599750	Height
rs11601239	Refractive error
rs11602954	Mean platelet volume
rs11602954	Platelet counts
rs11603023	Cholesterol, total
rs1160312	Male-pattern baldness
rs11603334	Fasting glucose-related traits (interaction with BMI)
rs11603334	Proinsulin levels
rs11605924	Fasting glucose-related traits
rs11605924	Fasting glucose-related traits (interaction with BMI)
rs1160985	C-reactive protein
rs1160985	LDL cholesterol
rs1160985	Lipid traits
rs11611647	Red blood cell count
rs11612508	Inflammatory bowel disease
rs11613352	HDL cholesterol
rs11613352	Triglycerides
rs11615274	Body mass index and cholesterol (psychopharmacological treatment)
rs11616188	Ankylosing spondylitis
rs11618212	Myopia (pathological)
rs11622412	Metabolite levels (5-HIAA/ MHPG Ratio)
rs11623869	Bone mineral density
rs11624056	Sudden cardiac arrest
rs11624704	Obesity
rs11624776	Thyroid hormone levels
rs11627546	Red blood cell traits
rs11628318	Platelet counts
rs11634397	Type 2 diabetes
rs11636802	Chronic lymphocytic leukemia
rs11639988	Obesity
rs11642841	Type 2 diabetes
rs11642873	Systemic sclerosis
rs11648785	Tanning
rs11648796	Height
rs11649653	Triglycerides
rs11650106	Lipoprotein-associated phospholipase A2 activity and mass
rs11650494	Prostate cancer
rs1165151	Urate levels
rs1165196	Urate levels
rs1165205	Urate levels
rs11653144	Mean platelet volume
rs11654749	Pulmonary function (interaction)
rs11655081	Musicians dystonia
rs1165668	Coronary heart disease
rs1165669	Coronary heart disease
rs11656696	Intraocular pressure
rs11658329	Height
rs11661542	Intracranial aneurysm
rs11662721	Phospholipid levels (plasma)
rs11666341	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)
rs11667918	Glycated hemoglobin levels
rs11668344	Menopause (age at onset)
rs11669133	Coronary heart disease
rs11671010	Serum albumin level
rs11671664	Body mass index
rs11672517	Dupuytrens disease
rs11672691	Prostate cancer
rs11672983	Inflammatory bowel disease
rs11675251	Butyrylcholinesterase levels
rs11675434	Serum thyroid peroxidase antibody levels
rs11675434	Serum thyroid peroxidase antibody positivity
rs11676348	Ulcerative colitis
rs11676922	Rheumatoid arthritis
rs1167796	Systemic lupus erythematosus
rs11678354	PR segment
rs1167998	Lipid metabolism phenotypes
rs1167998	Triglycerides
rs1168013	Triglycerides
rs1168029	Lipid metabolism phenotypes
rs11684404	Height
rs11687170	Educational attainment
rs116909374	Thyroid cancer
rs1169288	Cholesterol, total
rs1169288	Gamma gluatamyl transferase levels
rs1169288	LDL cholesterol
rs1169310	C-reactive protein
rs1169313	Liver enzyme levels
rs11693697	Serum protein levels (sST2)
rs11694172	Cholesterol, total
rs11697186	Response to hepatitis C treatment
rs117026326	Sjögrens syndrome
rs11703808	Intelligence
rs11708067	Fasting glucose-related traits
rs11708067	Fasting glucose-related traits (interaction with BMI)
rs11708067	Type 2 diabetes
rs11708996	Brugada syndrome
rs11708996	PR interval
rs11708996	QRS duration
rs11709625	Hematological and biochemical traits
rs11710077	QRS duration
rs11710456	IgG glycosylation
rs11711441	Parkinsons disease
rs11712066	Infantile hypertrophic pyloric stenosis
rs11712165	Celiac disease
rs1171614	Urate levels
rs11717195	Type 2 diabetes
rs11717368	Red blood cell traits
rs1172130	Mean platelet volume
rs11722228	Serum uric acid levels
rs11722228	Urate levels
rs1172294	Pubertal anthropometrics
rs11724635	Parkinsons disease
rs11726248	Thyroid hormone levels
rs11727189	Pulmonary function
rs1172822	Menarche and menopause (age at onset)
rs1172822	Menopause (age at onset)
rs11732231	PR interval
rs11734132	Mean platelet volume
rs1173727	Height
rs1173766	Blood pressure
rs1173771	Blood pressure
rs1173771	Diastolic blood pressure
rs1173771	Hypertension
rs1173771	Systolic blood pressure
rs11739663	Ulcerative colitis
rs11741861	Inflammatory bowel disease
rs11742570	Crohns disease
rs11742570	Inflammatory bowel disease
rs11744876	Amyotrophic lateral sclerosis (sporadic)
rs11746443	Nephrolithiasis
rs11747270	Crohns disease
rs11748327	Myocardial infarction
rs11754288	Cardiovascular disease risk factors
rs11754661	Alzheimers disease (late onset)
rs11755164	Bone mineral density
rs1175550	Blood trace element (Cu levels)
rs11755527	Type 1 diabetes
rs11755527	Type 1 diabetes autoantibodies
rs11755845	Thyroid hormone levels
rs11756438	QT interval
rs11757063	Migraine
rs11759769	Migraine
rs11759769	Migraine without aura
rs11761528	Dehydroepiandrosterone sulphate levels
rs117616209	Metabolite levels
rs11763147	Corneal structure
rs11766298	Response to fenofibrate
rs11767557	Alzheimers disease (late onset)
rs11771145	Alzheimers disease (late onset)
rs11773845	PR interval
rs11776767	Triglycerides
rs11777116	Migraine - clinic-based
rs11780156	Breast cancer
rs11781551	Carotid intima media thickness
rs11782652	Ovarian cancer
rs11787792	Type 2 diabetes
rs11789015	Digestive system disease (Barretts esophagus and esophageal adenocarcinoma combined)
rs11789399	Bipolar disorder and schizophrenia
rs1178977	Urate levels
rs1178979	Triglycerides
rs11789898	Platelet counts
rs117964204	Alzheimers disease (cognitive decline)
rs11803731	Hair morphology
rs11805303	Crohns disease
rs11809207	Height
rs11810217	Multiple sclerosis
rs11814448	Breast cancer
rs11820589	Metabolic syndrome (bivariate traits)
rs11820646	Breast cancer
rs1182188	Height
rs11823543	Triglycerides-Blood Pressure (TG-BP)
rs11825181	Triglycerides-Blood Pressure (TG-BP)
rs11830103	Height
rs1183201	Uric acid levels
rs11838472	Myopia (pathological)
rs11838918	Conduct disorder (symptom count)
rs1183910	C-reactive protein
rs11842874	Osteoarthritis
rs11847263	IgG glycosylation
rs11847697	Body mass index
rs11855415	Handedness in dyslexia
rs11860650	Systemic lupus erythematosus and Systemic sclerosis
rs11864477	Bone mineral density
rs11864909	Renal function-related traits (eGRFcrea)
rs11864909	Renal function-related traits (sCR)
rs11866328	Hepatitis B
rs11867479	Height
rs11868035	Parkinsons disease
rs11868441	Renal function-related traits (BUN)
rs11869286	HDL cholesterol
rs11871801	Crohns disease
rs11879191	Inflammatory bowel disease
rs11880992	Height
rs11884476	AIDS progression
rs11884776	Urinary metabolites (H-NMR features)
rs11886868	Fetal hemoglobin levels
rs11887188	Blood pressure measurement (high sodium and potassium intervention)
rs11887534	Gallstones
rs11889341	Rheumatoid arthritis
rs11891311	Bilirubin levels
rs11894081	Crohns disease
rs11895026	Height
rs11897119	PR interval
rs11898505	Bone mineral density (spine)
rs11898505	Bone properties (heel)
rs11900673	Rheumatoid arthritis
rs11902236	Prostate cancer
rs11903757	Colorectal cancer
rs11915082	Mean corpuscular hemoglobin
rs11920090	Fasting glucose-related traits
rs11920090	Fasting glucose-related traits (interaction with BMI)
rs1192415	Optic disc parameters
rs11924390	Adiponectin levels
rs11924705	Coronary heart disease
rs11931074	Parkinsons disease
rs11933531	DNA methylation (variation)
rs11933540	Rheumatoid arthritis
rs11951031	Bone mineral density
rs11953630	Diastolic blood pressure
rs11953630	Systolic blood pressure
rs11958779	Height
rs11966072	Mean corpuscular hemoglobin
rs11966072	Mean corpuscular volume
rs11966072	Red blood cell count
rs11966200	Vitiligo
rs11970286	QT interval
rs11970772	Hematological parameters
rs11974269	Obesity-related traits
rs11977526	Insulin-like growth factors
rs11978267	Acute lymphoblastic leukemia (childhood)
rs11979158	Glioma
rs11980379	Acute lymphoblastic leukemia (B-cell precursor)
rs11984041	Stroke
rs11984075	Celiac disease and Rheumatoid arthritis
rs1198588	Schizophrenia
rs11995572	Schizophrenia
rs11995824	Bone mineral density (hip)
rs12025126	Vertical cup-disc ratio
rs12027135	Cholesterol, total
rs12027135	LDL cholesterol
rs12029080	D-dimer levels
rs12029454	QT interval
rs12032643	Myopia (pathological)
rs12034383	Erythrocyte sedimentation rate
rs12034598	Inflammatory biomarkers
rs12037222	C-reactive protein
rs12042938	Neuranatomic and neurocognitive phenotypes
rs12043259	Addiction
rs12044963	Immune reponse to smallpox (secreted IFN-alpha)
rs12045440	Thyroid volume
rs1204660	Venous thromboembolism (gene x gene interaction)
rs12048904	Multiple sclerosis
rs12051272	Adiponectin levels
rs12051548	Metabolite levels
rs12051548	Sphingolipid levels
rs12053903	QT interval
rs12054895	Major depressive disorder
rs12059546	Epilepsy (generalized)
rs12075	Inflammatory biomarkers
rs12075	Monocyte chemoattractant protein-1 
rs12075	Obesity-related traits
rs12075	White blood cell count
rs12075079	Height
rs12085006	Folate pathway vitamin levels
rs12091371	Alzheimers disease (cognitive decline)
rs1209523	Fasting plasma glucose
rs12097821	Non-obstructive azoospermia
rs12101261	Graves disease
rs12103	Inflammatory bowel disease
rs12104221	Obesity-related traits
rs12105918	Renal cell carcinoma
rs12110693	Biomedical quantitative traits
rs1211375	Hematology traits
rs1211375	Mean corpuscular hemoglobin
rs1211375	Mean corpuscular volume
rs12116643	End-stage coagulation
rs12126655	Plasma thyroid-stimulating hormone levels
rs12127588	Mean corpuscular hemoglobin
rs12129861	Uric acid levels
rs12130333	Triglycerides
rs12134279	Primary biliary cirrhosis
rs12134493	Migraine
rs12134493	Migraine without aura
rs12134663	Homocysteine levels
rs12138950	Thyroid volume
rs12140275	Rheumatoid arthritis
rs12143842	QT interval
rs12145743	HDL cholesterol
rs12145922	Liver enzyme levels (gamma-glutamyl transferase)
rs12149832	Body mass index
rs12150660	Sex hormone-binding globulin levels
rs12150660	Testosterone levels
rs12153391	Height
rs12153855	Age-related macular degeneration
rs12153855	Atopic dermatitis
rs12155172	Prostate cancer
rs12173570	Breast size
rs12185268	Parkinsons disease
rs1218582	Prostate cancer
rs12188300	Psoriatic arthritis
rs12189362	Sudden cardiac arrest
rs12190287	Coronary artery disease
rs12190287	Coronary artery disease or ischemic stroke
rs12190287	Coronary artery disease or large artery stroke
rs12190287	Coronary heart disease
rs12193446	Axial length
rs1219414	Rheumatoid arthritis
rs1219648	Breast cancer
rs12198986	Height
rs12199775	Inflammatory bowel disease
rs12201676	Bipolar disorder and schizophrenia
rs12202284	Non-melanoma skin cancer
rs12202969	Bipolar disorder
rs12203592	Black vs. blond hair color
rs12203592	Black vs. red hair color
rs12203592	Eye color
rs12203592	Freckling
rs12203592	Hair color
rs12203592	Non-melanoma skin cancer
rs12203592	Progressive supranuclear palsy
rs12203592	Tanning
rs12205363	Refractive error
rs12210050	Basal cell carcinoma 
rs12210050	Tanning
rs12210810	QT interval
rs12212193	Multiple sclerosis
rs12214416	Lp (a) levels
rs12216812	Myopia (pathological)
rs12219125	Diabetic retinopathy 
rs12220777	Chronic obstructive pulmonary disease-related biomarkers
rs12229654	Alcohol consumption
rs12229654	Gamma glutamyl transpeptidase
rs12229654	Glycemic traits
rs12229654	HDL cholesterol
rs12229663	Refractive error
rs12229918	Primary tooth development (number of teeth)
rs12229918	Primary tooth development (time to first tooth eruption)
rs12239046	C-reactive protein
rs12242110	Crohns disease
rs12247397	Immune reponse to smallpox (secreted IL-1beta)
rs12249377	White matter microstructure (global fractional anisotropy)
rs12251307	Type 1 diabetes
rs12251332	Metabolite levels (Pyroglutamine)
rs12256830	Immune response to smallpox vaccine (IL-6)
rs12258967	Blood pressure
rs12261843	Ulcerative colitis
rs12272004	Carotenoid and tocopherol levels
rs12272004	LDL cholesterol
rs12272004	Triglycerides
rs12279250	Thiazide-induced adverse metabolic effects in hypertensive patients
rs12282107	Serum metabolite levels
rs12284594	Substance dependence
rs12286037	Lipoprotein-associated phospholipase A2 activity and mass
rs12286037	Metabolic syndrome (bivariate traits)
rs12286037	Triglycerides
rs12288023	Serum metabolite levels
rs12289961	Lymphoma
rs12290811	Bipolar disorder
rs12294104	Menopause (age at onset)
rs12296050	Electrocardiographic traits
rs12296050	QT interval
rs12296850	Squamous cell carcinoma
rs1229984	Alcohol consumption
rs1229984	Alcohol dependence
rs1229984	Esophageal cancer
rs1229984	Upper aerodigestive tract cancers
rs1230666	Serum thyroid peroxidase antibody levels
rs1231206	Coronary heart disease
rs12313946	White blood cell count
rs12328675	HDL cholesterol
rs12338076	Height
rs12342831	IgG glycosylation
rs12355784	Liver enzyme levels
rs12356193	Uric acid levels
rs12368653	Multiple sclerosis
rs12371778	Breast size
rs12379034	Rheumatoid arthritis
rs12407028	Bone mineral density
rs12409639	Prostate-specific antigen levels
rs12413409	Coronary artery disease or large artery stroke
rs12413409	Coronary heart disease
rs12413409	Intracranial aneurysm
rs12413578	Rheumatoid arthritis
rs12413624	Pancreatic cancer
rs12422552	Breast cancer
rs12423247	Phospholipid levels (plasma)
rs12424086	Permanent tooth development
rs12425791	Stroke
rs12429889	Sudden cardiac arrest
rs1243180	Ovarian cancer
rs12437854	Type 1 diabetes nephropathy
rs12441227	Pulmonary function
rs12444979	Body mass index
rs12446492	Urinary uromodulin levels
rs12446554	Obesity
rs12446632	Obesity
rs12447690	Central corneal thickness
rs12447804	Pulmonary function
rs12447804	Pulmonary function (interaction)
rs12449964	Coronary artery disease or ischemic stroke
rs1245582	Disc degeneration (lumbar)
rs12456492	Parkinsons disease
rs12460587	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)
rs12460876	Chronic kidney disease
rs12461110	Menopause (age at onset)
rs12463617	Body mass index
rs12463617	Obesity (early onset extreme)
rs12466022	Multiple sclerosis
rs12470505	Height
rs12472274	Phospholipid levels (plasma)
rs12474201	Height
rs12474609	Aging
rs12477314	Pulmonary function
rs12478601	Polycystic ovary syndrome
rs12483959	Metabolite levels
rs12484776	Uterine fibroids
rs12485738	Mean platelet volume
rs12493607	Breast cancer
rs12500426	Prostate cancer
rs12500579	Fractional exhaled nitric oxide (childhood)
rs1250229	LDL cholesterol
rs12504628	Pulmonary function
rs1250544	Crohns disease and psoriasis
rs1250546	Inflammatory bowel disease
rs1250550	Crohns disease
rs1250550	Inflammatory bowel disease (early onset)
rs1250550	Multiple sclerosis
rs1250552	Celiac disease
rs12506899	Tumor biomarkers
rs12507628	Metabolite levels
rs12511469	Fibrinogen
rs12517906	Weight
rs12518614	End-stage coagulation
rs12521868	Crohns disease
rs12522034	Hypertension
rs12525668	Myopia (pathological)
rs12526453	Coronary heart disease
rs12526453	Myocardial infarction (early onset)
rs12526480	Mean platelet volume
rs12529514	Rheumatoid arthritis
rs12530845	Red blood cell traits
rs12531711	Primary biliary cirrhosis
rs12531711	Systemic lupus erythematosus
rs12534093	Height
rs12537	IgA nephropathy
rs12537284	Systemic lupus erythematosus
rs12539316	Gamma glutamyl transpeptidase
rs12541254	Venous thromboembolism (gene x gene interaction)
rs1254319	Refractive error
rs12543318	Orofacial clefts
rs12563333	Bipolar disorder
rs1256335	Folate pathway vitamin levels
rs12564445	Cardiac Troponin-T levels
rs12565727	Male-pattern baldness
rs12565755	Response to tocilizumab in rheumatoid arthritis
rs12566888	Platelet aggregation
rs12568930	Inflammatory bowel disease
rs12570188	Asthma (childhood onset)
rs12571093	Optic nerve measurement (disc area)
rs12571751	Type 2 diabetes
rs12576239	QT interval
rs12576775	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs12576775	Bipolar disorder
rs1257763	Height
rs12579350	Panic disorder
rs12586317	Psoriasis
rs12593813	Restless legs syndrome
rs12597579	Body mass index
rs12602486	Glycated hemoglobin levels
rs1260326	C-reactive protein
rs1260326	Cardiovascular disease risk factors
rs1260326	Cholesterol, total
rs1260326	Chronic kidney disease
rs1260326	Glycemic traits (pregnancy)
rs1260326	Hematological and biochemical traits
rs1260326	Hypertriglyceridemia
rs1260326	Lipid metabolism phenotypes
rs1260326	Liver enzyme levels (gamma-glutamyl transferase)
rs1260326	Metabolic traits
rs1260326	Metabolite levels
rs1260326	Non-albumin protein levels 
rs1260326	Platelet counts
rs1260326	Serum albumin level
rs1260326	Serum total protein level
